AG001,洗沐季_3000滿額禮, 摩洛哥堅果賦活金萃油 5ml (2028-07-22), 1, 1, 1
AG002,洗沐季_6000滿額禮, 晶鑽絕世番紅花極緻潔顏皂 25g (2028-05-30), 1, 1, 1
AG002,洗沐季_6000滿額禮, 晶鑽皇家大馬士革玫瑰極緻潔顏皂 25g (2028-05-30), 1, 2, 1
AG002,洗沐季_6000滿額禮, 晶鑽摩洛哥堅果金萃油極緻潔顏皂 25g (2027-08-23), 1, 3, 1
AG003,洗沐季_消費禮_複方油組, 超級複方油 莓果亮采 5ml (2026-09-30), 1, 1, 1
AG003,洗沐季_消費禮_複方油組, 超級複方油 玫瑰煥顏 5ml (2026-09-30), 1, 2, 1
AG004,0801~0809_滿2800再加碼_黑種草籽油皂25g, 晶鑽晶亮黑種草籽油極緻潔顏皂 25g (2028-05-30), 1, 1, 1
AG005,0817~0824_滿5600再加碼_3種面膜,完美極萃面膜 賦活能量(單片) (2028-08-12), 1, 1, 1
AG005,0817~0824_滿5600再加碼_3種面膜,完美極萃面膜 透亮能量(單片) (2028-08-12), 1, 2, 1
AG005,0817~0824_滿5600再加碼_3種面膜,完美極萃面膜 鎖水能量(單片) (2028-08-12), 1, 3 ,1
